"name";"total_products_matched";"total_items_matched"
"fk 0kal sommer 1,5l";1;1
"flagguilande";1;1
"flerkornboll";1;1
"floed";1;1
"floedeskum";1;1
"floedeskum u/suk";1;1
"flydende vask";1;1
"for tuesday *m*";1;1
"forhaeng,slim";1;1
"fp morgenknas choco";1;1
"fraiche 18%n";1;1
"frank /bacogcheese";1;1
"fredsted moringa me!";1;1
"freesia double mixed";1;1
"freesia single";1;1
"frejdahl sigurd 66cl";1;1
"frisk powerm";1;1
"frugt";1;1
"frugtkonfekt 150g";1;1
"frugtoel";1;1
"frugtrulle";1;1
"fugleaeg";1;1
"fuldkorn taert";1;1
"fuldkorns tort.";1;1
"gaffatape";1;1
"gaveaeske";1;1
"gavemaerker";1;1
"gb moerk";1;1
"gc kolde kaptajner";1;1
"gebyr fr. kreditkort";1;1
"gerbera";1;1
"ginger original";1;1
"gl.dags floedeis moerk";1;1
"glastavle";1;1
"glitterlim";1;1
"gloegg";1;1
"glutenfri finax";1;1
"gm orange morning 1l";1;1
"go card";1;1
"godt blandet org.";1;1
"goel sommergriller";1;1
"graenseledning 50m";1;1
"granol";1;1
"graviditetst";1;1
"grill handske";1;1
"grillede groen";1;1
"grimbergen double";1;1
"grinebidder pink";1;1
"groenlid betraek 2-p.";1;1
"groentsagsbaand guleroe";1;1
"groentsagsmix";1;1
"groentsagsmix 750g";1;1
"grs cham";1;1
"guacamole";1;1
"gurli gris farvesaet";1;1
"haar acc";1;1
"haar elastikker";1;1
"haarklemmer 6'";1;1
"hagesmaekke";1;1
"hapsdog";1;1
"haribo 135gr";1;1
"havre fras";1;1
"havremel";1;1
"hedebogaard kryderier";1;1
"heinz fiery chil";1;1
"hemo jern tb";1;1
"herkules";1;1
"herkules skv";1;1
"hermitage";1;1
"herre flex handske";1;1
"herregaardsboef";1;1
"herresko";1;1
"hibiscus";1;1
"hoegaarden 75cl";1;1
"hygge mix 575g";1;1
"ibérico-mix";1;1
"imodium instant";1;1
"imp forsk.";1;1
"imp terrassebraedder";1;1
"indersaal";1;1
"india pale";1;1
"indisk risr.";1;1
"instant gold";1;1
"invitro gravidit";1;1
"ironstone re";1;1
"isenbourg vigneray h";1;1
"isenkram";1;1
"italiensk wok, g";1;1
"itunes kr.";1;1
"ivar nnn hyl f";1;1
"jacobsen brown ale";1;1
"jacobsen paaske";1;1
"jakobsens hverdagsh";1;1
"jarlsberg skiver";1;1
"jensen bearnaise";1;1
"jensens bearnaise";1;1
"joergens favorit";1;1
"julefryd gloe";1;1
"julepraliner";1;1
"juleskum";1;1
"julestenoel";1;1
"junior tee";1;1
"kaalmix";1;1
"kaalmix g";1;1
"kaempe laeske";1;1
"kalender";1;1
"kalender nisse";1;1
"kalk mg+d3 10mcg";1;1
"kalk-vaek bad";1;1
"kapers";1;1
"kapilaerkasse selvvan";1;1
"karen volf brune kag";1;1
"karies kontrol";1;1
"kasse";1;1
"kb julemumme";1;1
"kims griller";1;1
"kims joergens favorit";1;1
"kims noeddebrud";1;1
"king' green, sc";1;1
"kissmeyer new e. ipa";1;1
"kk fraiche 500g";1;1
"kk madlavningsfloede";1;1
"kk risalamande 450g";1;1
"klassiker";1;1
"kloever kold /cit 1l";1;1
"klorin wc gel";1;1
"klunka vasktoejpos";1;1
"koekkentilbehoer";1;1
"koeleboks l blaa/hv";1;1
"koeleelement";1;1
"komfortsaal";1;1
"kompagniet";1;1
"konsolstoette hv";1;1
"kort/telegram";1;1
"kraftsky";1;1
"krasdesign abe";1;1
"kridttavle";1;1
"l skiver";1;1
"l'or elegante";1;1
"l'or forza";1;1
"l'or mattinata";1;1
"l'or ristretto";1;1
"l'or single origin";1;1
"la roed 100s";1;1
"ladekabel";1;1
"lagerman konfekt";1;1
"lang nissehue";1;1
"lanterne zink";1;1
"lavendula";1;1
"lb multikern";1;1
"ledning cable 5";1;1
"leerdammer";1;1
"leffe ruby l";1;1
"ler kg";1;1
"letsaltet flaesk";1;1
"levevis roed";1;1
"liebfraumilc";1;1
"lille lise";1;1
"limfjordsporter";1;1
"lindemans";1;1
"lingon grove extra";1;1
"lise flydende";1;1
"livol magnesium";1;1
"livol vitaminbjoerne";1;1
"lommeletter";1;1
"lottrup ipa";1;1
"love mix oet";1;1
"lovena vatrondeller";1;1
"lu petit ecolier";1;1
"luksus sh. mp svane";1;1
"lys";1;1
"maanedens salat";1;1
"maanedens stirfry";1;1
"madkuloer";1;1
"mamone pumpkin seeds";1;1
"mamone vaniljesukker";1;1
"mamone walnuts 150g";1;1
"mandehoerm chi";1;1
"manilla maerke";1;1
"mat. oeko kakaoskum.";1;1
"mature red leicester";1;1
"mc ac str mt";1;1
"mediterranean";1;1
"medium fries";1;1
"mega b-stress ka";1;1
"melantin roed";1;1
"men beard brush";1;1
"mexogco burrito kryd";1;1
"mh svin";1;1
"micro nano";1;1
"milda";1;1
"millmortar vanilje";1;1
"mini gerbera";1;1
"mini kys 20 st";1;1
"miracle whip";1;1
"misses g";1;1
"ml skiver";1;1
"modne avo";1;1
"moerk plade";1;1
"mogm' crispy";1;1
"montgras";1;1
"montgras bib";1;1
"moppespand liter";1;1
"mortadella";1;1
"mousse choco/creme b";1;1
"mugcake";1;1
"mukimame";1;1
"multipak ispi";1;1
"naesemasker flere";1;1
"naesenisse cm.";1;1
"nerf disruptor";1;1
"nescafe";1;1
"nescafe guld";1;1
